id,director,cast
43680,Vladimir Bortko,"['Evgeniy Evstigneev', 'Boris Plotnikov', 'Vladimir Tolokonnikov']"
16700,Christopher N. Rowley,"['Kathy Bates', 'Evan May', 'Erin May']"
167928,Aku Louhimies,"['Janne Virtanen', 'Aada Hämes', 'Susanna Anteroinen']"
1735,Rob Cohen,"['Brendan Fraser', 'Jet Li', 'John Hannah']"
10187,Joshua Michael Stern,"['Kevin Costner', 'Madeline Carroll', 'Paula Patton']"
10185,Ryûhei Kitamura,"['Bradley Cooper', 'Vinnie Jones', 'Brooke Shields']"
10183,Courtney Hunt,"['Melissa Leo', 'Misty Upham', 'Charlie McDermott']"
31082,Paul Weiland,"['Gregg Sulkin', 'Catherine Tate', 'Peter Serafinowicz']"
13996,Randall Miller,"['Alan Rickman', 'Chris Pine', 'Bill Pullman']"
5038,Woody Allen,"['Scarlett Johansson', 'Rebecca Hall', 'Javier Bardem']"
13851,Yasuhiro Aoki,"['Kevin Conroy', 'Gary Dourdan', 'Jason Marsden']"
19877,Toyoo Ashida,"['Akira Kamiya', 'Yuriko Yamamoto', 'Kenji Utsumi']"
46871,Julia Kwan,"['Vivian Wu', 'Phoebe Kut', 'Hollie Lo']"
28273,Yasujirō Ozu,"['Ganjiro Nakamura', 'Setsuko Hara', 'Yôko Tsukasa']"
15859,John H. Lee,"['Jung Woo-sung', 'Son Ye-jin', 'Baek Jong-hak']"
31922,John Frankenheimer,"['Andrew McCarthy', 'Valeria Golino', 'Sharon Stone']"
14654,Christophe Honoré,"['Romain Duris', 'Louis Garrel', 'Joana Preiss']"
13251,Paul Schrader,"['Woody Harrelson', 'Kristin Scott Thomas', 'Lauren Bacall']"
1661,Sebastian Schipper,"['Frank Giering', 'Florian Lukas', 'Antoine Monot Jr.']"
41245,Lee Chang-dong,"['Sol Kyung-gu', 'Moon So-ri', 'Kim Yeo-jin']"
10189,David Gordon Green,"['Seth Rogen', 'James Franco', 'Danny McBride']"
12289,John Woo,"['Chang Chen', 'Hu Jun', 'Tony Leung Chiu-Wai']"
45579,Gene Wilder,"['Gene Wilder', 'Carol Kane', 'Dom DeLuise']"
15069,Tom Shankland,"['Selma Blair', 'Melissa George', 'Stellan Skarsgård']"
2012,Carlos Reygadas,"['Elizabeth Fehr', 'Jacobo Klassen', 'Maria Pankratz']"
18056,Brad Furman,"['John Leguizamo', 'Tyrese Gibson', 'Rosie Perez']"
18803,Cecilia Miniucchi,"['Samantha Morton', 'Jason Patric', 'Teri Garr']"
10188,Sanaa Hamri,"['Alexis Bledel', 'Amber Tamblyn', 'America Ferrera']"
13300,Larry Bishop,"['Larry Bishop', 'Michael Madsen', 'Eric Balfour']"
11671,Isabel Coixet,"['Penélope Cruz', 'Ben Kingsley', 'Patricia Clarkson']"
63474,Tenney Fairchild,"['Nathan Stevens', 'Cameron Richardson', 'Jason Segel']"
15570,Jon Reiss,[]
155796,Gabylu Lara,"['Damian Odess-Gillett', 'Pavlína Karpeles']"
15208,Juraj Jakubisko,"['Anna Friel', 'Karel Roden', 'Hans Matheson']"
15662,Carlos Brooks,"['Nick Stahl', 'Vera Farmiga', 'Rachel Black']"
22029,Larry Cohen,"['Fred Williamson', 'Gloria Hendry', 'Art Lund']"
13649,Kenny Ortega,"['Zac Efron', 'Vanessa Hudgens', 'Ashley Tisdale']"
7446,Ben Stiller,"['Ben Stiller', 'Jack Black', 'Robert Downey Jr.']"
14878,Daniel Myrick,"['Jonas Ball', 'Matthew R. Anderson', 'Jon Huertas']"
12180,Dave Filoni,"['Matt Lanter', 'Ashley Eckstein', 'James Arnold Taylor']"
13107,Mark Pellington,"['Luke Wilson', 'George Lopez', 'Radha Mitchell']"
29568,José Luis Guerin,"['Pilar López de Ayala', 'Xavier Lafitte', 'Michaël Balerdi']"
13256,Simon Hunter,"['Ron Perlman', 'Thomas Jane', 'Devon Aoki']"
13436,Chookiat Sakveerakul,"['Krissada Sukosol', 'Achita Sikamana', 'Sarunyu Wongkrachang']"
8885,Ari Folman,"['Ari Folman', 'Ron Ben-Yishai', 'Dror Harazi']"
13310,Tomas Alfredson,"['Kåre Hedebrant', 'Lina Leandersson', 'Per Ragnar']"
12621,Andrew Fleming,"['Steve Coogan', 'Catherine Keener', 'Joseph Julian Soria']"
10483,Paul W.S. Anderson,"['Jason Statham', 'Joan Allen', 'Ian McShane']"
12620,Fred Wolf,"['Anna Faris', 'Emma Stone', 'Kat Dennings']"
13579,Fred Durst,"['Ice Cube', 'Keke Palmer', 'Tasha Smith']"
10186,Peter Cattaneo,"['Rainn Wilson', 'Josh Gad', 'Christina Applegate']"
15320,Patrick Creadon,"['Robert Bixby', 'Warren Buffett', 'Douglas Durst']"
13515,Alexandre Aja,"['Kiefer Sutherland', 'Paula Patton', 'Amy Smart']"
5592,Claude Chabrol,"['Ludivine Sagnier', 'Benoît Magimel', 'François Berléand']"
13956,Ben Stassen,"['Tim Curry', 'Robert Patrick', 'Kelly Ripa']"
60230,Peter Askin,"['Dalton Trumbo', 'Joan Allen', 'Michael Douglas']"
43389,Federico Fellini,"['Giulietta Masina', 'Peppino De Filippo', 'Carla Del Poggio']"
31018,John Frankenheimer,"['Michael Gambon', 'Donald Sutherland', 'Alec Baldwin']"
13637,Takashi Miike,"['Hideaki Ito', 'Koichi Sato', 'Yusuke Iseya']"
18116,Grace Lee,"['Austin Basis', 'Jane Edith Wilson']"
15661,Henry Bean,"['Tim Robbins', 'Bridget Moynahan', 'William Hurt']"
13564,Víctor García,"['Amanda Righetti', 'Cerina Vincent', 'Erik Palladino']"
14566,Brett Leonard,"[""Alex O'Loughlin"", 'Patrick Thompson', 'Gabby Millgate']"
14298,Shane Meadows,"['Thomas Turgoose', 'Piotr Jagiello', 'Elisa Lasowski']"
4944,Joel Coen,"['George Clooney', 'Frances McDormand', 'Brad Pitt']"
13805,Jason Friedberg,"['Matt Lanter', 'Vanessa Lachey', 'Nicole Ari Parker']"
9381,Mathieu Kassovitz,"['Vin Diesel', 'Michelle Yeoh', 'Mélanie Thierry']"
13291,Jeffrey Nachmanoff,"['Don Cheadle', 'Guy Pearce', 'Neal McDonough']"
13991,Deb Hagan,"['Drake Bell', 'Andrew Caldwell', 'Andree Moss']"
22319,Tia Lessin,['Michael Brown']
13972,Diane English,"['Cloris Leachman', 'India Ennenga', 'Annette Bening']"
16182,Herbert Wise,"['Adrian Rawlins', 'Bernard Hepton', 'David Daker']"
14771,Tom Kuntz,"['Len Cariou', 'Steven Seagal', 'Larissa Laskin']"
43040,John Ford,"['Jeffrey Hunter', 'Woody Strode', 'Constance Towers']"
15206,Dario Argento,"['Asia Argento', 'Cristian Solimeno', 'Adam James']"
8285,Frank Miller,"['Gabriel Macht', 'Scarlett Johansson', 'Samuel L. Jackson']"
118309,Tom Hooper,"['Paul Giamatti', 'Laura Linney', 'Stephen Dillane']"
18539,John Ford,"['Charley Grapewin', 'Marjorie Rambeau', 'Gene Tierney']"
21335,Richard Attenborough,"['Laurence Olivier', 'Vanessa Redgrave', 'Maggie Smith']"
12165,Guillermo Arriaga,"['Charlize Theron', 'Kim Basinger', 'Jennifer Lawrence']"
85574,Fred Zinnemann,"['Spencer Tracy', 'Signe Hasso', 'Hume Cronyn']"
13184,Danny Pang,"['Nicolas Cage', 'Shahkrit Yamnarm', 'Charlie Yeung']"
12818,Jason Todd Ipson,"['Jay Jablonski', 'Cerina Vincent', 'Blake Lee']"
27521,Sidney J. Furie,"['Stan Shaw', 'Andrew Stevens', 'James Canning']"
13726,Claude Miller,"['Patrick Bruel', 'Cécile de France', 'Ludivine Sagnier']"
102305,Chris Eska,[]
35854,Wilson Yip,"['Donnie Yen', 'Louis Koo', 'Collin Chou']"
14075,Jesse V. Johnson,"['Rick Yune', 'Keith David', 'Bokeem Woodbine']"
22554,Matti Grönberg,"['Mikko Kivinen', 'Heikki Silvennoinen', 'Heikki Hela']"
18596,Dee McLachlan,"['Veronica Sywak', 'Saskia Burmeister', 'Masa Yamaguchi']"
26431,Scott Z. Burns,"['Paddy Considine', 'Oscar Isaac', 'Valeriu Pavel Dan']"
38019,Zhang Yang,"['Joan Chen', 'Zhang Fan', 'Ge Gao']"
43177,S. Sylvan Simon,"['Peter Lawford', 'Donald Crisp', 'June Lockhart']"
39368,Leigh Scott,"['Clare Carey', 'Lance Guest', 'Sarah Butler']"
3865,Daniel Sánchez Arévalo,"['Quim Gutiérrez', 'Antonio de la Torre', 'Raúl Arévalo']"
13484,Jody Hill,"['Danny McBride', 'Ben Best', 'Mary Jane Bostic']"
14458,Eduardo Sánchez,"['Adam Kaufman', 'Brad William Henke', 'Misty Rosas']"
25795,Jaime Marques,"['Juan José Ballesta', 'María Valverde', 'Patrick Bauchau']"
13389,Jon Avnet,"['Robert De Niro', 'Carla Gugino', '50 Cent']"
13279,Neil LaBute,"['Samuel L. Jackson', 'Patrick Wilson', 'Kerry Washington']"
38140,Joe Menendez,"['Fernando Colunga', 'Miguel Varoni', 'Saúl Lisazo']"
3,Aki Kaurismäki,"['Matti Pellonpää', 'Kati Outinen', 'Sakari Kuosmanen']"
12797,David Koepp,"['Ricky Gervais', 'Greg Kinnear', 'Téa Leoni']"
8908,Emir Kusturica,"['Diego Maradona', 'Manu Chao', 'Emir Kusturica']"
15822,Jacob Thuesen,"['Troels Lyby', 'Sofie Gråbøl', 'Paw Henriksen']"
4998,Ulrich Seidl,"['Ekateryna Rak', 'Paul Hofmann', 'Michael Thomas']"
16456,Lance Mungia,"['David Boreanaz', 'Edward Furlong', 'Yuji Okumoto']"
3041,Matías Bize,"['Blanca Lewin', 'Gonzalo Valenzuela']"
71139,Craig E. Serling,"['Elizabeth Bogush', 'Dan Byrd', 'Amanda Detmer']"
41264,Gualtiero Jacopetti,['Sergio Rossi']
24777,Paul Bartel,"['Ayn Ruymen', 'Lucille Benson', 'John Ventantonio']"
20802,Richard Rush,"['Alan Arkin', 'James Caan', 'Loretta Swit']"
47721,Ingmar Bergman,"['Åke Grönberg', 'Harriet Andersson', 'Hasse Ekman']"
14232,Darren Grodsky,"['Jeremy Strong', 'Fairuza Balk', 'Peter Bogdanovich']"
14098,Eric Red,"['Famke Janssen', 'Bobby Cannavale', 'Ed Westwick']"
14643,Christian Duguay,"['Mila Kunis', 'Gregory Smith', 'Peter Stormare']"
30944,Russell Mulcahy,"['Armand Assante', 'Rachel Ward', 'Bryan Brown']"
50759,Yasujirō Ozu,"['Chishu Ryu', 'Shima Iwashita', 'Keiji Sada']"
38226,Paolo Mazzucato,"['Scott Plank', 'Jocelyn Seagrave', ""Robert O'Reilly""]"
12690,Ed Harris,"['Viggo Mortensen', 'Ed Harris', 'Renée Zellweger']"
12412,Spike Lee,"['Derek Luke', 'Michael Ealy', 'Laz Alonso']"
37050,José Alvarenga Jr.,"['Luiz Fernando Guimarães', 'Fernanda Torres', 'Marisa Orth']"
38311,Andrei Tarkovsky,"['Igor Fomchenko', 'Vladimir Zamanskiy', 'Marina Adzhubei']"
37776,Frank Sudol,[]
54669,Aku Louhimies,"['Samuli Vauramo', 'Pihla Viitala', 'Eero Aho']"
73169,Sergio Rezende,"['Patricia Pillar', 'Daniel de Oliveira', 'Leandra Leal']"
1984,Michael Anderson,"[""Edmond O'Brien"", 'Jan Sterling', 'Michael Redgrave']"
38361,Nikita Mikhalkov,"['Yuri Bogatyryov', 'Nikita Mikhalkov', 'Sergey Shakurov']"
73920,Konstantin Lopushanskiy,"['Rolan Bykov', 'Iosif Ryklin', 'Aleksandr Sabinin']"
13027,D.J. Caruso,"['Shia LaBeouf', 'Michelle Monaghan', 'Rosario Dawson']"
13092,Robert B. Weide,"['Kelan Pannell', 'Janette Scott', 'Simon Pegg']"
25126,Martin McDonagh,"['Brendan Gleeson', 'Rúaidhrí Conroy', 'David Wilmot']"
14326,George C. Wolfe,"['Diane Lane', 'Richard Gere', 'Christopher Meloni']"
50011,Tony Richardson,"['Richard Burton', 'Claire Bloom', 'Mary Ure']"
12182,Peter Sollett,"['Michael Cera', 'Kat Dennings', 'Aaron Yoo']"
14928,Avi Nesher,"['Ania Bukstein', 'Fanny Ardant', 'Adir Miller']"
38616,Howard Smith,"['Marjoe Gortner', 'Sarah Kernochan']"
9539,Pascal Laugier,"['Mylène Jampanoï', 'Morjana Alaoui', 'Mike Chute']"
81296,Juzo Itami,"['Nobuko Miyamoto', 'Masahiko Tsugawa', 'Sen Yano']"
46492,Mikio Naruse,"['Setsuko Hara', 'Sô Yamamura', 'Ken Uehara']"
131805,Jorge Fernando,"['Malu Mader', 'Murilo Benício', 'Fábio Assunção']"
13200,Lucky McKee,"['Brian Cox', 'Noel Fisher', 'Tom Sizemore']"
38601,Saam Farahmand,[]
822,Satyajit Ray,"['Chhabi Biswas', 'Padmadevi', 'Kali Sarkar']"
8882,Matteo Garrone,"['Toni Servillo', 'Gianfelice Imparato', 'Maria Nazionale']"
42095,Juzo Itami,"['Tsutomu Yamazaki', 'Nobuko Miyamoto', 'Kin Sugai']"
13401,Griffin Dunne,"['Colin Firth', 'Uma Thurman', 'Jeffrey Dean Morgan']"
20015,Rigoberto Castañeda,"['Iliana Fox', 'Adrià Collado', 'Raúl Méndez']"
12783,Saul Dibb,"['Keira Knightley', 'Ralph Fiennes', 'Aidan McArdle']"
12683,Michael Roesch,"['Rick Yune', 'Lance Henriksen', 'Bill Moseley']"
3097,Peter Greenaway,"['J. J. Feild', 'Caroline Dhavernas', 'Jordi Mollà']"
15981,Hiroyuki Imaishi,"['Kappei Yamaguchi', 'Takako Honda']"
41666,Jim McBride,"['Rosanna Arquette', 'Kevin Anderson', 'John Lithgow']"
14976,Jonathan Demme,"['Anne Hathaway', 'Rosemarie DeWitt', 'Sebastian Stan']"
12113,Ridley Scott,"['Leonardo DiCaprio', 'Russell Crowe', 'Mark Strong']"
13600,Gil Kenan,"['Saoirse Ronan', 'Harry Treadaway', 'Mary Kay Place']"
10078,Andrew O'Connor,"['David Mitchell', 'Robert Webb', 'Paul Mark Elliott']"
30266,Stuart Paton,"['Lois Alexander', 'Curtis Benton', 'Wallace Clarke']"
11874,Giuseppe Colizzi,"['Eli Wallach', 'Terence Hill', 'Bud Spencer']"
19566,Tricia Regan,"['Adam', 'Elaine Hall', 'Rosanne Katon']"
13051,John Moore,"['Mark Wahlberg', 'Mila Kunis', 'Beau Bridges']"
39816,Chris Smith,"['Venkatesh Chavan', 'Jhangir Badshah', 'Ayesha Mohan']"
10358,Kevin Smith,"['Seth Rogen', 'Elizabeth Banks', 'Jennifer Schwalbach Smith']"
10523,Oliver Stone,"['Josh Brolin', 'Elizabeth Banks', 'Ellen Burstyn']"
13596,Howard Deutch,"['Dane Cook', 'Kate Hudson', 'Alec Baldwin']"
56942,Ken Loach,"['Sandy Ratcliff', 'Bill Dean', 'Grace Cave']"
71206,Gianfranco Parolini,"['Yul Brynner', 'Dean Reed', 'Ignazio Spalla']"
4960,Charlie Kaufman,"['Philip Seymour Hoffman', 'Samantha Morton', 'Jennifer Jason Leigh']"
120481,Henry Koster,"['Loretta Young', 'Celeste Holm', 'Hugh Marlowe']"
32620,Stuart Rosenberg,"['Paul Newman', 'Joanne Woodward', 'Anthony Franciosa']"
12837,Gina Prince-Bythewood,"['Dakota Fanning', 'Queen Latifah', 'Jennifer Hudson']"
14914,Marc Abraham,"['Aaron Abrams', 'Alan Alda', 'Lauren Graham']"
13948,David Zucker,"['Kevin Farley', 'Kelsey Grammer', 'Leslie Nielsen']"
25142,Andrey Zvyagintsev,"['Konstantin Lavronenko', 'Aleksandr Baluev', 'Maria Bonnevie']"
7735,Dennis Gansel,"['Jürgen Vogel', 'Frederick Lau', 'Max Riemelt']"
14791,Daniel Cohen,"['Florence Loiret Caille', 'Benoît Poelvoorde', 'Natacha Lindinger']"
76406,Wim Wenders,"['Yûharu Atsuta', 'Werner Herzog', 'Chishu Ryu']"
101929,Masaki Kobayashi,"['Fumio Watanabe', 'Ineko Arima', 'Tatsuya Nakadai']"
2397,Rodney McDonald,"['Daniel Baldwin', 'Frank Zagarino', 'Teri Ann Linn']"
12689,Gurinder Chadha,"['Georgia Groome', 'Eleanor Tomlinson', 'Aaron Taylor-Johnson']"
15935,Tony Martin,"['Mick Molloy', 'Bob Franklin', 'Judith Lucy']"
15450,Tyler Perry,"['Kathy Bates', 'Alfre Woodard', 'Tyler Perry']"
25741,Michael Henger,"['Olli Jantunen', 'Hannu-Pekka Björkman', 'Vuokko Hovatta']"
13812,John Erick Dowdle,"['Jennifer Carpenter', 'Steve Harris', 'Jay Hernandez']"
108634,Shinji Sômai,"['Youki Kudoh', 'Yuichi Mikami', 'Tomokazu Miura']"
27361,Louis Malle,"['Cathryn Harrison', ' Therese Giehse', 'Alexandra Stewart']"
225614,Yôji Yamada,"['Masatoshi Nagase', 'Rentarô Mikuni', 'Emi Wakui']"
13489,P.J. Pesce,"['Tad Hilgenbrink', 'Angus Sutherland', 'Autumn Reeser']"
13150,Gavin O'Connor,"['Edward Norton', 'Jon Voight', 'Colin Farrell']"
13414,Theo Avgerinos,"['Lou Taylor Pucci', 'Kristen Bell', 'John Hensley']"
14325,Gary Fleder,"['Rob Brown', 'Dennis Quaid', 'Darrin Henson']"
41474,Kenji Misumi,"['Tomisaburō Wakayama', 'Yuko Hamada', 'Isao Yamagata']"
41477,Buichi Saito,"['Tomisaburō Wakayama', 'Yoichi Hayashi', 'Michie Azuma']"
16068,Michael Vejar,"['Dylan Neal', 'Andreas Katsulas', 'Alex Zahara']"
15289,J. Michael Straczynski,"['Bruce Boxleitner', 'Peter Woodward', 'Alan Scarfe']"
56295,Chukiat Sakveerakul,"['Witwisit Hiranyawongkul', 'Mario Maurer', 'Songsit Roongnophakunsri']"
13809,Guy Ritchie,"['Mark Strong', 'Tom Wilkinson', 'Toby Kebbell']"
34100,Marc Rosenbush,"['Duane Sharp', 'Kim Chan', 'Ezra Buzzington']"
11887,Kenny Ortega,"['Zac Efron', 'Vanessa Hudgens', 'Ashley Tisdale']"
41073,Leslie Arliss,"['Margaret Lockwood', 'James Mason', 'Patricia Roc']"
83683,Michael Gordon,"['Susan Hayward', 'Dan Dailey', 'George Sanders']"
59403,Richard Thorpe,"['Mickey Rooney', 'Rex Ingram', 'Walter Connolly']"
69299,Todd Komarnicki,"['Bill Paxton', 'Julia Ormond', 'Sandrine Bonnaire']"
13253,Dwayne Carey-Hill,"['Billy West', 'Katey Sagal', 'John DiMaggio']"
114796,Nick Willing,"['Zooey Deschanel', 'Alan Cumming', 'Neal McDonough']"
17800,,"['Balthazar Getty', 'Matthew Settle', 'Josh Brolin']"
30977,Norman Taurog,"['Tommy Kelly', 'Jackie Moran', 'Ann Gillis']"
10527,Eric Darnell,"['Ben Stiller', 'Jada Pinkett Smith', 'David Schwimmer']"
13506,Andrey Kravchuk,"['Konstantin Khabenskiy', 'Elizaveta Boyarskaya', 'Sergei Bezrukov']"
53772,Cecil B. DeMille,"['Wallace Reid', 'Gloria Swanson', 'Wanda Hawley']"
8338,Fernando Meirelles,"['Julianne Moore', 'Mark Ruffalo', 'Alice Braga']"
3580,Clint Eastwood,"['Angelina Jolie', 'Jeffrey Donovan', 'John Malkovich']"
36073,Hideshi Hino,"['Hiroshi Tamura', 'Kirara Yugao']"
20766,John Hillcoat,"['Viggo Mortensen', 'Kodi Smit-McPhee', 'Charlize Theron']"
12405,Danny Boyle,"['Dev Patel', 'Freida Pinto', 'Anil Kapoor']"
10764,Marc Forster,"['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric']"
18548,Madonna,"['Eugene Hutz', 'Holly Weston', 'Vicky McClure']"
4701,Ralph Thomas,"['Dirk Bogarde', 'Dorothy Tutin', 'Paul Guers']"
15373,David Wain,"['Seann William Scott', 'Paul Rudd', 'Elizabeth Banks']"
120828,Lewis Seiler,"['Tom Mix', 'Dorothy Dwan', 'Will Walling']"
173634,Vernon Keays,"['Moe Howard', 'Larry Fine', 'Curly Howard']"
8938,Michel Gondry,"['Ayako Fujitani', 'Ryo Kase', 'Ayumi Ito']"
16061,Yoshihiro Nishimura,"['Eihi Shiina', 'Itsuji Itao', 'Yukihide Benny']"
73059,Veljko Bulajić,"['Bert Sotlar', 'Velimir „Bata“ Živojinović', 'Milena Dravić']"
16166,Antti-Jussi Annila,"['Ville Virtanen', 'Tommi Eronen', 'Viktor Klimenko']"
2588,Julio Médem,"['Manuela Vellés', 'Charlotte Rampling', 'Bebe']"
13672,Mabrouk El Mechri,"['Jean-Claude Van Damme', 'François Damiens', 'Zinedine Soualem']"
47184,Mikio Naruse,"['Ken Uehara', 'Setsuko Hara', 'Yukiko Shimazaki']"
158959,Maja Classen,[]
44283,John Howley,"['Irene Cara', 'Malcolm McDowell', 'Dom DeLuise']"
42884,Robert Iscove,"['Brandy Norwood', 'Whitney Houston', 'Whoopi Goldberg']"
215471,Edward Bernds,"[""George O'Brien"", 'Moe Howard', 'Shemp Howard']"
13516,Michael Moore,"['Michael Moore', 'Eddie Vedder', 'Robert Ellis Orrall']"
14943,Takashi Miike,"['Shun Oguri', 'Kyôsuke Yabe', 'Meisa Kuroki']"
19147,Moacyr Góes,"['Marcos Palmeira', 'Flávia Alessandra', 'Fernanda Paes Leme']"
96395,Henry King,"['Ronald Colman', 'Vilma Banky', 'Gary Cooper']"
52561,John Ford,"['Edward G. Robinson', 'Jean Arthur', 'Arthur Hohl']"
42664,Franklin J. Schaffner,"['Charlton Heston', 'Rosemary Forsyth', 'Richard Boone']"
4627,Marco Kreuzpaintner,"['David Kross', 'Daniel Brühl', 'Robert Stadlober']"
43052,Daniel Fridell,[]
21501,Juha Wuolijoki,"['Hannu-Pekka Björkman', 'Mikko Kouki', 'Mikko Leppilampi']"
16882,Su-chang Kong,"['Young-hoon Lee', 'Jeong-heon Lee', 'Cheon Ho-jin']"
127257,Daniel Burman,"['Alfredo Casero', 'Ingrid Rubio', 'Emilio Disi']"
49355,Hideo Gosha,"['Tatsuya Nakadai', 'Tetsurō Tamba', 'Yôko Tsukasa']"
13655,Matthew Diamond,"['Demi Lovato', 'Joe Jonas', 'Maria Canals-Barrera']"
13905,Brian Henson,"['Claudia Black', 'Ben Browder', 'Anthony Simcoe']"
11917,David Hackl,"['Tobin Bell', 'Costas Mandylor', 'Scott Patterson']"
8892,Arnaud Desplechin,"['Catherine Deneuve', 'Anne Consigny', 'Jean-Paul Roussillon']"
12525,Rupert Harvey,"['Don Keith Opper', 'Terrence Mann', 'Angela Bassett']"
82519,Eric Bross,"['Adrien Brody', 'Elise Neal', 'David Moscow']"
13523,Sean Anders,"['Josh Zuckerman', 'Amanda Crew', 'Clark Duke']"
14655,Malcolm D. Lee,"['Samuel L. Jackson', 'Bernie Mac', 'Sharon Leal']"
15749,Susan Montford,"['Kim Basinger', 'Lukas Haas', 'Craig Sheffer']"
22358,Pavel Lungin,"['Pyotr Mamonov', 'Viktor Sukhorukov', 'Yuriy Kuznetsov']"
14405,Raja Gosnell,"['Drew Barrymore', 'Piper Perabo', 'Andy García']"
43985,Bahman Ghobadi,"['Golshifteh Farahani', 'Ismail Ghaffari', 'Allah-Morad Rashtian']"
20065,Edward Burns,"['Selma Blair', 'Patrick Wilson', 'Edward Burns']"
14089,Wayne Coyne,"['Steven Drozd', 'Wayne Coyne', 'Steve Burns']"
208385,Eric Nazarian,"['Ellen Albertini Dow', 'Eric Burdon', 'Paul Dillon']"
84050,Joshua Logan,"['Leslie Caron', 'Maurice Chevalier', 'Charles Boyer']"
9999,Matthias Glasner,"['Jürgen Vogel', 'Sabine Timoteo', 'André Hennicke']"
17099,Kenji Misumi,"['Shintarô Katsu', 'Kô Nishimura', 'Yukiji Asaoka']"
58570,Johnnie To,"['Lau Ching-Wan', 'Ruby Wong', 'Yiu-Cheung Lai']"
29452,Hiroshi Teshigahara,"['Tatsuya Nakadai', 'Machiko Kyô', 'Mikijiro Hira']"
125749,F. Richard Jones,"['Douglas Fairbanks', 'Lupe Vélez', 'Eve Southern']"
111759,Donald Crisp,"['Douglas Fairbanks', 'Mary Astor', 'Donald Crisp']"
8905,Nuri Bilge Ceylan,"['Yavuz Bingöl', 'Hatice Aslan', 'Rifat Sungar']"
3520,Mario Monicelli,"['Marcello Mastroianni', 'Virna Lisi', 'Marisa Mell']"
43372,Luchino Visconti,"['Anna Magnani', 'Walter Chiari', 'Tina Apicella']"
88435,Seijun Suzuki,"['Hideki Takahashi', 'Masako Izumi', 'Akira Yamauchi']"
77650,Budd Boetticher,"['Robert Stack', 'Joy Page', 'Gilbert Roland']"
17704,Greg MacGillivray,"['Meryl Streep', 'Judith Connor', 'Stephanie K. Martin']"
36571,Andrew V. McLaglen,"['Lee Marvin', 'Ernest Borgnine', 'Ken Wahl']"
36572,Lee H. Katzin,"['Telly Savalas', 'Ernest Borgnine', 'Vince Edwards']"
37327,John Ford,"['Ben Johnson', 'Joanne Dru', 'Harry Carey, Jr.']"
28684,David DeCoteau,"['Adrienne Barbeau', 'Stephen Martines', 'Jeremy Jackson']"
8841,Laurent Cantet,"['François Bégaudeau', 'Franck Keïta', 'Esmeralda Ouertani']"
54615,John Ford,"['Dan Dailey', 'Corinne Calvet', 'Colleen Townsend']"
13220,Toby Wilkins,"['Charles Baker', 'Jill Wagner', 'Paulo Costanzo']"
16509,Matthew Ogens,[]
34867,Jim VanBebber,"['Marcelo Games', 'Marc Pitman', 'Jim VanBebber']"
10565,Lars Becker,"['Haluk Piyes', 'David Scheller', 'Tyron Ricketts']"
6972,Baz Luhrmann,"['Nicole Kidman', 'Hugh Jackman', 'Essie Davis']"
13053,Chris Williams,"['John Travolta', 'Miley Cyrus', 'Susie Essman']"
32862,Steve Sekely,"['John Carradine', 'Gale Storm', 'Robert Lowery']"
10139,Gus Van Sant,"['Sean Penn', 'Emile Hirsch', 'James Franco']"
29320,Tod Browning,"['Lionel Barrymore', ""Maureen O'Sullivan"", 'Frank Lawton']"
8966,Catherine Hardwicke,"['Kristen Stewart', 'Robert Pattinson', 'Billy Burke']"
16342,Tom Shankland,"['Eva Birthistle', 'Hannah Tointon', 'Stephen Campbell Moore']"
13387,Olivier Megaton,"['Jason Statham', 'François Berléand', 'Natalya Rudakova']"
12193,Seth Gordon,"['Vince Vaughn', 'Reese Witherspoon', 'Robert Duvall']"
14574,Mark Herman,"['Asa Butterfield', 'Jack Scanlon', 'Vera Farmiga']"
10900,Jennifer Chambers Lynch,"['Julia Ormond', 'Bill Pullman', 'Pell James']"
56256,Cristi Puiu,"['Dragoș Bucur', 'Ioana Flora', 'Răzvan Vasilescu']"
14438,Alex Kendrick,"['Kirk Cameron', 'Erin Bethea', 'Ken Bevel']"
14248,Anthony Leondis,"['John Cusack', 'Myleene Klass', 'Robin Walsh']"
20919,Adam Mason,"['Andrew Howard', 'Pollyanna Rose', 'Olivia Hill']"
12224,Marco Brambilla,"['Tyron Leitso', 'David Thewlis', 'Wentworth Miller']"
10360,Steve McQueen,"['Michael Fassbender', 'Stuart Graham', 'Helena Bereen']"
14299,Darnell Martin,"['Adrien Brody', 'Jeffrey Wright', 'Beyoncé Knowles']"
13056,Lexi Alexander,"['Ray Stevenson', 'Dominic West', 'Julie Benz']"
15026,Steve Wang,"['Jack Armstrong', 'Mark Hamill', 'Greg Joung Paik']"
13793,Baillie Walsh,"['Daniel Craig', 'Harry Eden', 'Miriam Karlin']"
35790,Satyajit Ray,"['Soumitra Chatterjee', 'Madhabi Mukherjee', 'Shailen Mukherjee']"
38831,Iosif Kheifits,"['Iya Savvina', 'Aleksey Batalov', 'Nina Alisova']"
45838,Roscoe 'Fatty' Arbuckle,"[""Roscoe 'Fatty' Arbuckle"", 'Buster Keaton', 'Al St. John']"
13394,Gary Trousdale,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']"
